[1, 2, 3, 4, 5, 7, 8, 9, 11, 13, 18, 19, 20, 21, 24, 26, 27, 28, 29, 32, 34, 35, 38, 41, 42, 43, 44, 46, 47, 48, 50, 51, 52, 53, 56, 57, 58, 59, 60, 64, 65, 66, 68, 71, 72, 73, 75, 76, 77, 79, 80, 81, 84, 86, 87, 90, 91, 92, 94, 95, 97, 99, 0, 2, 5, 7, 8, 17, 20, 22, 24, 25, 31, 33, 36, 37, 39, 40, 41, 48, 54, 55, 58, 59, 60, 63, 66, 69, 70, 71, 72, 75, 77, 81, 83, 88, 90, 94, 98, 99]
[4, 5, 7, 8, 13, 18, 19, 20, 24, 26, 27, 32, 34, 35, 42, 43, 44, 46, 50, 51, 53, 60, 65, 66, 71, 72, 73, 76, 79, 84, 87, 92, 94, 95, 0, 5, 7, 17, 20, 22, 31, 33, 36, 37, 39, 40, 54, 55, 58, 59, 60, 71, 72, 75, 77, 83, 88, 99, 2, 5, 7, 8, 19, 20, 27, 46, 48, 58, 60, 66, 71, 72, 79, 90, 94, 99, 2, 5, 8, 17, 20, 22, 25, 33, 39, 40, 41, 55, 58, 59, 66, 69, 70, 71, 72, 75, 77, 83, 88, 90]
[4, 5, 7, 13, 18, 19, 24, 27, 32, 34, 35, 42, 44, 46, 51, 72, 73, 76, 84, 87, 94, 5, 7, 20, 31, 36, 37, 58, 71, 75, 77, 83, 88, 7, 8, 27, 48, 58, 60, 66, 72, 79, 90, 99, 8, 17, 20, 22, 25, 33, 40, 41, 58, 59, 69, 70, 71, 72, 77, 83, 88, 90, 7, 19, 20, 60, 66, 71, 73, 79, 94, 0, 31, 33, 36, 40, 54, 58, 72, 88, 8, 19, 27, 90, 94, 99, 8, 17, 20, 22, 25, 33, 39, 55, 59, 70, 75, 77, 83, 90]
[4, 5, 7, 18, 24, 35, 42, 44, 46, 51, 73, 84, 87, 94, 20, 31, 36, 71, 88, 8, 27, 48, 58, 79, 99, 25, 59, 69, 70, 72, 77, 90, 20, 66, 94, 31, 33, 36, 40, 54, 72, 19, 27, 90, 94, 99, 8, 17, 20, 22, 25, 33, 55, 59, 70, 83, 5, 7, 19, 73, 5, 7, 20, 31, 36, 37, 58, 71, 75, 77, 7, 8, 27, 58, 66, 72, 8, 17, 20, 22, 25, 41, 59, 77, 83, 88, 73, 94, 0, 36, 40, 27, 90, 94, 8, 20, 25, 33, 55, 83]
[18, 24, 35, 42, 46, 94, 20, 36, 88, 48, 58, 99, 25, 69, 70, 72, 77, 31, 33, 36, 40, 54, 72, 19, 27, 17, 22, 25, 33, 59, 83, 7, 19, 73, 5, 7, 31, 36, 71, 77, 58, 17, 25, 59, 77, 83, 88, 73, 94, 36, 94, 25, 33, 55, 83, 5, 24, 46, 94, 31, 36, 71, 88, 25, 59, 70, 72, 66, 36, 54, 19, 27, 90, 94, 99, 8, 17, 55, 73, 5, 7, 31, 36, 75, 77, 8, 66, 72, 25, 59, 77, 83, 88, 0, 36, 40, 27, 90, 8, 33]
[18, 35, 94, 36, 88, 58, 99, 69, 77, 31, 33, 40, 72, 27, 22, 33, 83, 7, 73, 5, 71, 25, 59, 77, 83, 94, 36, 25, 55, 5, 24, 94, 31, 88, 25, 59, 66, 54, 90, 55, 7, 75, 77, 66, 72, 59, 77, 83, 88, 40, 27, 94, 88, 99, 70, 72, 77, 31, 33, 36, 27, 22, 25, 59, 19, 73, 5, 36, 77, 58, 25, 88, 73, 94, 36, 94, 25, 55, 83, 31, 88, 25, 59, 66, 36, 54, 27, 99, 8, 73, 5, 75, 77, 8, 77, 83, 36, 27, 8, 33]
[18, 94, 36, 58, 69, 33, 72, 27, 22, 83, 71, 59, 77, 94, 55, 24, 31, 88, 66, 7, 66, 72, 59, 88, 94, 70, 72, 31, 33, 36, 59, 58, 25, 94, 36, 31, 88, 59, 54, 27, 8, 73, 8, 77, 83, 36, 8, 33, 94, 36, 58, 99, 77, 33, 40, 72, 27, 73, 25, 59, 77, 83, 36, 5, 24, 94, 31, 25, 59, 66, 54, 90, 55, 75, 77, 66, 72, 77, 83, 88, 94, 99, 31, 27, 59, 19, 5, 77, 88, 25, 88, 59, 66, 36, 27, 5, 75, 8, 27, 33]
[18, 58, 69, 33, 27, 22, 71, 59, 77, 94, 24, 88, 66, 59, 94, 70, 72, 31, 36, 59, 25, 94, 36, 31, 59, 73, 8, 77, 36, 94, 99, 77, 33, 40, 72, 27, 25, 77, 83, 24, 94, 55, 75, 66, 72, 88, 27, 59, 5, 88, 66, 36, 5, 94, 83, 59, 31, 66, 72, 72, 33, 94, 36, 88, 54, 8, 73, 8, 83, 36, 8, 94, 36, 58, 99, 40, 77, 83, 36, 24, 94, 31, 25, 54, 75, 77, 72, 88, 31, 27, 59, 19, 88, 59, 66, 36, 27, 5, 8, 33]
[18, 58, 33, 22, 59, 77, 88, 66, 59, 94, 72, 31, 36, 73, 8, 36, 94, 99, 77, 40, 25, 77, 55, 66, 27, 5, 88, 94, 59, 31, 66, 72, 33, 36, 88, 8, 8, 83, 36, 24, 94, 31, 25, 75, 72, 88, 31, 27, 59, 19, 88, 5, 8, 33, 27, 24, 88, 66, 94, 70, 31, 36, 73, 8, 36, 94, 40, 27, 25, 77, 75, 72, 27, 66, 36, 83, 59, 66, 72, 36, 88, 8, 73, 8, 83, 8, 36, 58, 99, 83, 24, 94, 31, 54, 59, 19, 88, 59, 5, 8]
[58, 22, 88, 66, 94, 72, 8, 94, 77, 40, 77, 55, 66, 5, 31, 72, 33, 36, 88, 8, 8, 83, 24, 94, 31, 25, 75, 27, 19, 33, 24, 73, 8, 94, 27, 75, 66, 66, 36, 8, 8, 83, 8, 58, 83, 94, 31, 54, 59, 59, 58, 22, 77, 66, 59, 72, 31, 36, 94, 77, 40, 25, 66, 27, 5, 72, 33, 36, 88, 8, 36, 24, 31, 72, 88, 31, 27, 19, 88, 5, 27, 66, 94, 40, 27, 75, 72, 27, 66, 36, 8, 83, 36, 58, 99, 83, 94, 54, 59, 5]
