[2, 3, 4, 5, 6, 7, 8, 9, 10, 13, 14, 16, 17, 18, 21, 22, 24, 25, 26, 27, 28, 30, 32, 33, 35, 36, 37, 39, 41, 42, 44, 45, 47, 49, 50, 51, 53, 55, 56, 57, 58, 59, 62, 63, 64, 67, 70, 72, 73, 74, 77, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 90, 92, 93, 95, 96, 97, 98, 0, 1, 9, 14, 17, 21, 27, 30, 36, 37, 39, 40, 41, 42, 45, 48, 50, 52, 56, 63, 64, 69, 71, 72, 73, 75, 77, 79, 81, 83, 87, 98]
[3, 4, 5, 7, 8, 10, 14, 18, 21, 22, 24, 25, 27, 28, 33, 35, 36, 37, 39, 41, 44, 45, 47, 50, 56, 58, 59, 63, 64, 70, 72, 73, 77, 79, 80, 81, 82, 84, 85, 86, 87, 88, 90, 93, 95, 96, 97, 98, 0, 14, 21, 27, 30, 39, 41, 45, 48, 50, 64, 71, 72, 81, 83, 87, 14, 17, 21, 28, 39, 42, 45, 47, 72, 79, 84, 98, 9, 14, 27, 30, 36, 37, 39, 40, 41, 42, 45, 50, 52, 56, 63, 64, 72, 73, 75, 77, 79, 81, 83, 98]
[4, 5, 7, 14, 18, 22, 24, 25, 27, 33, 35, 36, 37, 39, 41, 44, 47, 56, 63, 64, 72, 77, 79, 80, 81, 82, 84, 86, 87, 88, 90, 93, 95, 98, 0, 14, 21, 39, 48, 71, 72, 81, 83, 87, 17, 21, 42, 79, 84, 9, 39, 52, 63, 72, 73, 75, 77, 83, 98, 21, 39, 41, 45, 50, 56, 63, 73, 81, 84, 88, 96, 0, 27, 30, 41, 45, 48, 64, 71, 72, 83, 14, 21, 28, 42, 45, 84, 98, 27, 36, 37, 39, 52, 63, 64, 77, 79, 81, 83, 98]
[7, 14, 18, 22, 24, 25, 27, 33, 41, 44, 47, 56, 63, 72, 77, 79, 80, 81, 87, 90, 95, 98, 14, 21, 39, 48, 72, 17, 21, 79, 9, 63, 72, 73, 83, 21, 41, 45, 63, 73, 81, 88, 0, 30, 41, 71, 83, 45, 84, 98, 39, 52, 63, 77, 79, 83, 98, 36, 37, 72, 77, 79, 81, 88, 0, 14, 39, 48, 71, 72, 83, 87, 21, 79, 84, 9, 52, 72, 98, 21, 41, 45, 50, 63, 96, 45, 48, 64, 71, 14, 21, 28, 42, 37, 39, 63, 77, 79, 81, 98]
[14, 18, 25, 27, 33, 44, 47, 63, 72, 77, 95, 14, 39, 17, 79, 9, 72, 83, 21, 45, 73, 81, 88, 0, 30, 41, 71, 83, 84, 98, 63, 77, 83, 98, 36, 37, 72, 77, 39, 21, 84, 9, 98, 21, 45, 50, 45, 48, 39, 77, 98, 27, 47, 72, 77, 79, 98, 14, 39, 48, 72, 21, 79, 63, 72, 21, 41, 81, 88, 0, 30, 71, 98, 63, 79, 83, 98, 36, 72, 79, 81, 88, 0, 48, 71, 72, 21, 79, 84, 72, 21, 45, 50, 21, 28, 42, 37, 79, 81, 98]
[14, 18, 77, 95, 14, 39, 79, 9, 72, 21, 45, 0, 71, 83, 84, 98, 63, 37, 21, 84, 9, 45, 50, 45, 48, 77, 27, 77, 98, 39, 21, 79, 21, 81, 88, 30, 98, 79, 36, 72, 48, 71, 72, 21, 84, 72, 21, 50, 42, 37, 79, 81, 98, 14, 72, 77, 14, 17, 21, 45, 73, 81, 71, 83, 84, 98, 63, 77, 98, 37, 39, 9, 98, 21, 45, 48, 77, 98, 27, 77, 39, 48, 72, 21, 81, 63, 83, 98, 79, 88, 0, 48, 71, 72, 21, 79, 72, 50, 79, 98]
[14, 18, 95, 39, 72, 45, 63, 37, 21, 84, 9, 45, 50, 77, 77, 98, 39, 21, 79, 21, 88, 36, 71, 21, 72, 21, 79, 14, 77, 45, 81, 71, 98, 77, 98, 98, 21, 45, 77, 98, 39, 48, 21, 83, 79, 88, 48, 21, 79, 72, 14, 14, 79, 9, 72, 0, 71, 63, 37, 21, 84, 45, 50, 27, 21, 21, 30, 98, 79, 36, 72, 48, 71, 84, 72, 42, 98, 72, 14, 17, 21, 73, 71, 83, 84, 77, 98, 9, 98, 48, 39, 48, 72, 81, 79, 48, 71, 72, 50, 98]
[18, 95, 72, 21, 84, 39, 79, 21, 88, 71, 72, 21, 98, 77, 98, 21, 45, 77, 98, 48, 79, 72, 71, 63, 37, 21, 45, 50, 27, 21, 30, 36, 72, 72, 42, 72, 14, 84, 77, 9, 48, 39, 72, 72, 98, 45, 63, 37, 84, 50, 77, 77, 98, 39, 79, 88, 36, 71, 72, 21, 71, 77, 98, 21, 77, 98, 39, 21, 88, 48, 72, 14, 72, 37, 21, 84, 50, 21, 98, 79, 72, 48, 98, 14, 17, 21, 73, 83, 77, 98, 9, 98, 48, 48, 72, 79, 48, 71, 72, 50]
[95, 84, 39, 72, 98, 77, 79, 72, 71, 21, 50, 27, 72, 84, 77, 9, 48, 72, 63, 37, 50, 77, 98, 39, 71, 21, 71, 77, 77, 21, 48, 14, 21, 84, 98, 72, 48, 98, 17, 73, 83, 98, 9, 98, 48, 48, 72, 72, 50, 84, 79, 21, 88, 71, 72, 77, 98, 98, 72, 50, 21, 36, 72, 72, 72, 77, 48, 72, 72, 98, 63, 37, 84, 50, 77, 77, 98, 39, 79, 71, 21, 21, 48, 72, 14, 37, 50, 98, 79, 48, 98, 17, 73, 83, 77, 9, 98, 48, 71, 72]
[39, 72, 98, 77, 79, 72, 84, 77, 9, 72, 63, 50, 98, 39, 77, 21, 84, 98, 48, 98, 17, 73, 98, 98, 48, 48, 72, 79, 21, 71, 72, 72, 21, 36, 72, 72, 72, 98, 63, 84, 77, 98, 71, 21, 21, 72, 14, 50, 79, 48, 83, 9, 98, 48, 71, 98, 77, 71, 27, 72, 37, 50, 39, 71, 21, 71, 77, 77, 21, 14, 98, 17, 73, 83, 72, 50, 84, 71, 72, 77, 98, 72, 72, 48, 72, 98, 63, 77, 98, 71, 21, 72, 14, 37, 50, 73, 83, 9, 98, 72]
